RELEASE_YEAR,GENRE,BUDGET,REVENUE,PROFIT,POPULARITY
1915,Drama,117311,11137365,11020054,5.7936119999999995
1915,History,100000,11000000,10900000,5.113205
1915,War,100000,11000000,10900000,5.113205
1916,Action,200000,8000000,7800000,0.917777
1916,Adventure,200000,8000000,7800000,0.917777
1916,Drama,200000,8000000,7800000,0.917777
1916,Science Fiction,200000,8000000,7800000,0.917777
1918,Comedy,250000,8000000,7750000,0.211008
1918,Drama,250000,8000000,7750000,0.211008
1921,Comedy,250000,2500000,2250000,8.168456
1921,Drama,250000,2500000,2250000,8.168456
1922,Drama,1100000,400200,-699800,0.838095
1924,Action,1135654,1213880,78226,3.878515
1924,Adventure,1135654,1213880,78226,3.878515
1924,Drama,1135654,1213880,78226,3.878515
1924,Family,1135654,1213880,78226,3.878515
1924,Fantasy,1135654,1213880,78226,3.878515
1925,Adventure,4823000,11500000,6677000,8.503139000000001
1925,Comedy,923000,2500000,1577000,6.202041
1925,Crime,103000,704000,601000,1.345287
1925,Drama,5171592,34204001,29032409,12.219772
1925,Romance,348592,22704001,22355409,3.716633
1925,War,245000,22000000,21755000,2.084627
1926,Drama,836455,1624878,788423,1.2108409999999998
1926,Romance,373000,658000,285000,0.765315
1927,Comedy,483103,1027757,544654,0.205671
1927,Drama,93103103,1678179,-91424924,14.693538
1927,Romance,483103,1027757,544654,0.205671
1927,Science Fiction,92620000,650422,-91969578,14.487867
1928,Adventure,290337,596551,306214,0.906421
1928,Crime,75000,1200000,1125000,0.251353
1928,Drama,624337,2717551,2093214,1.8802849999999998
1928,Mystery,259000,921000,662000,0.722511
1929,Drama,379000,4358000,3979000,0.758012
1929,Music,379000,4358000,3979000,0.758012
1929,Romance,379000,4358000,3979000,0.758012
1930,Action,3950000,8000000,4050000,5.276546
1930,Drama,3950000,8000000,4050000,5.276546
1930,History,3950000,8000000,4050000,5.276546
1931,Action,558000,2227000,1669000,1.41344
1931,Comedy,1500000,19181,-1480819,10.891524
1931,Drama,2349000,14246181,11897181,20.396567
1931,Horror,646000,13012189,12366189,15.594729
1931,Romance,2058000,2246181,188181,12.304964
1931,Science Fiction,291000,12000000,11709000,8.091603
1931,Thriller,558000,2227000,1669000,1.41344
1932,Drama,700008,2594050,1894042,15.444732
1932,Romance,700008,2594050,1894042,15.444732
1932,War,8,50,42,4.325888
1933,Action,672000,10000000,9328000,8.73274
1933,Adventure,672000,10000000,9328000,8.73274
