RELEASE_YEAR,PROD_COMPANY_NAME,BUDGET,REVENUE,PROFIT,POPULARITY,N_ANIMATION,N_COMEDY,N_FAMILY,N_ADVENTURE,N_FANTASY,N_DRAMA,N_ROMANCE,N_ACTION,N_CRIME,N_THRILLER,N_HISTORY,N_SCIENCE_FICTION,N_MYSTERY,N_HORROR,N_WAR,N_FOREIGN,N_DOCUMENTARY,N_WESTERN,N_MUSIC,N_TV_MOVIE
1915,Epoch Film Co.,300000,33000000,32700000,5.113205,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1915,Jesse L. Lasky Feature Play Company,17311,137365,120054,0.680407,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,The Universal Film Mfg. Co.,800000,32000000,31200000,0.917777,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1918,Mabel Normand Feature Film Company,500000,16000000,15500000,0.211008,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,Charles Chaplin Productions,500000,5000000,4500000,8.168456,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,First National Pictures,500000,5000000,4500000,8.168456,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Universal Film Manufacturing Company,1100000,400200,-699800,0.838095,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,Douglas Fairbanks Pictures,5678270,6069400,391130,3.878515,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1925,An Erich von Stroheim Production,1184,2,-1182,0.286719,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Charles Chaplin Productions,2769000,7500000,4731000,6.202041,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Metro-Goldwyn-Mayer (MGM),8845184,86112002,77266818,1.5465375999999995,0,0,0,1,0,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0
1926,Metro-Goldwyn-Mayer (MGM),746000,1316000,570000,0.765315,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,Pickford Corporation,463455,966878,503423,0.445526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,Mary Pickford Company,1449309,3083271,1633962,0.20567100000000002,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,Paramount Pictures,185240000,1300844,-183939156,14.487867,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1927,Universum Film (UFA),185240000,1300844,-183939156,14.487867,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1928,Metro-Goldwyn-Mayer (MGM),1098674,3035102,1936428,0.5429773333333333,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1928,The Vitaphone Corporation,150000,2400000,2250000,0.251353,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1928,Warner Bros.,150000,2400000,2250000,0.251353,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1929,Metro-Goldwyn-Mayer (MGM),1137000,13074000,11937000,0.758012,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1930,The Caddo Company,11850000,24000000,12150000,5.276546,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1931,Charles Chaplin Productions,4500000,57543,-4442457,10.891523999999999,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,Metro-Goldwyn-Mayer (MGM),2232000,8908000,6676000,1.41344,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1931,Universal Pictures,1228000,37012189,35784189,7.94448375,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
1932,Metro-Goldwyn-Mayer (MGM),1400000,5188000,3788000,11.118844,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,Paramount Pictures,24,150,126,2.162944,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
1933,Fox Film Corporation,1180280,7630000,6449720,1.196324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Metro-Goldwyn-Mayer (MGM),3342000,7830000,4488000,2.8862539999999997,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1933,Paramount Pictures,650000,7900000,7250000,1.6358386666666667,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,RKO Radio Pictures,2688000,40000000,37312000,8.73274,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1933,Warner Bros.,1317000,6843000,5526000,4.718154,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1934,Columbia Pictures Corporation,650000,9000000,8350000,6.465257,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,Metro-Goldwyn-Mayer (MGM),2573224,6509000,3935776,6.5968438,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1935,Metro-Goldwyn-Mayer (MGM),10104000,20718000,10614000,5.360334666666667,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
